PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,JUMLAH_BKR,BULAN
SULAWESI BARAT,MAJENE,BANGGAE,BANGGAE,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,BARU,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,GALUNG,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,PALIPI SOREANG,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,PAMBOBORANG,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,PANGALI ALI,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,RANGAS,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE,TOTOLI,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA DHUA,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BAURUNG,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BUTTU BARUGA,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG UTARA,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LEMBANG,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE,1,JANUARI
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE TIMUR,1,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,BAMBANGAN,1,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,KAYUANGIN,1,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,LAMUNGANG BATU,1,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG,1,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG TIMUR,1,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG,1,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG TIMUR,1,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,MALIAYA,1,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,MALUNDA,1,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA,1,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA SELATAN,1,JANUARI
SULAWESI BARAT,MAJENE,MALUNDA,SALUTAHONGAN,1,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG,1,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG DHUA,1,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO,1,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO UTARA,1,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BALOMBONG,1,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BANUA ADOLANG,1,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BETTENG,1,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE,1,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE UTARA,1,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,BUTTU PAMBOANG,1,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,LALAMPANUA,1,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,PESULOANG,1,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,SIMBANG,1,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,SIRINDU,1,JANUARI
SULAWESI BARAT,MAJENE,PAMBOANG,TINAMBUNG,1,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,BANUA SENDANA,1,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,BINANGA,1,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,BUKIT SAMANG,1,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,LALATEDZONG,1,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,LEPPANGANG,1,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,LIMBORO RAMBU-RAMBU,1,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,LIMBUA,1,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,MOSSO,1,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,MOSSO DHUA,1,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,PAMINGGALAN,1,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,PUNDAU,1,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,PUTTADA,1,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,SENDANA,1,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA,1,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA UTARA,1,JANUARI
SULAWESI BARAT,MAJENE,SENDANA,TOTOLISI SENDANA,1,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,1,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,MANYAMBA,1,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,SEPPONG,1,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TALLAMBALAO,1,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO,1,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO UTARA,1,JANUARI
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,ULIDANG,1,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,BONDE BONDE,1,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG,1,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG UTARA,1,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO,1,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO POANG,1,JANUARI
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO SELATAN,1,JANUARI
