NO,PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,PA,SUNTIK,PIL,KONDOM,IMPLAN,IUD,VASEKTOMI,TUBEKTOMI,MAL,KB MODERN,KB TRADISIONAL,BULAN
0,SULAWESI BARAT,PASANGKAYU,BAMBAIRA,BAMBAIRA,205,49,27,6,103,4,0,13,0,202,3,JANUARI
1,SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KASOLOANG,155,50,23,0,59,11,0,12,0,155,0,JANUARI
2,SULAWESI BARAT,PASANGKAYU,BAMBAIRA,TAMPAURE,198,80,48,2,46,5,0,11,0,192,6,JANUARI
3,SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KALUKU NANGKA,230,98,58,2,54,5,0,13,0,230,0,JANUARI
4,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,BAMBALAMOTU,373,155,76,5,84,23,0,28,0,371,2,JANUARI
5,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,POLEWALI,260,83,92,2,52,16,1,13,0,259,1,JANUARI
6,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,RANDOMAYANG,378,116,66,2,137,12,0,35,0,368,10,JANUARI
7,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,PANGIANG,183,99,47,4,15,9,0,5,0,179,4,JANUARI
8,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,KALOLA,369,94,76,1,169,9,0,16,1,366,3,JANUARI
9,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,WULAI,223,44,69,1,82,5,0,21,0,222,1,JANUARI
10,SULAWESI BARAT,PASANGKAYU,BARAS,BARAS,75,31,15,0,26,2,0,1,0,75,0,JANUARI
11,SULAWESI BARAT,PASANGKAYU,BARAS,BALANTI,331,189,58,0,64,7,1,8,0,327,4,JANUARI
12,SULAWESI BARAT,PASANGKAYU,BARAS,MOTU,459,201,96,5,92,34,0,30,0,458,1,JANUARI
13,SULAWESI BARAT,PASANGKAYU,BARAS,BULU PARIGI,111,46,9,3,52,1,0,0,0,111,0,JANUARI
14,SULAWESI BARAT,PASANGKAYU,BARAS,TOWONI,78,34,18,0,21,2,0,3,0,78,0,JANUARI
15,SULAWESI BARAT,PASANGKAYU,BARAS,KASANO,236,175,20,0,39,2,0,0,0,236,0,JANUARI
16,SULAWESI BARAT,PASANGKAYU,BULU TABA,LILIMORI,243,99,31,4,73,16,0,20,0,243,0,JANUARI
17,SULAWESI BARAT,PASANGKAYU,BULU TABA,KARAVE,242,108,34,4,60,10,0,8,0,224,18,JANUARI
18,SULAWESI BARAT,PASANGKAYU,BULU TABA,BUKIT HARAPAN,103,43,22,0,31,5,1,1,0,103,0,JANUARI
19,SULAWESI BARAT,PASANGKAYU,BULU TABA,KASTABUANA,161,94,22,3,26,6,0,9,0,160,1,JANUARI
20,SULAWESI BARAT,PASANGKAYU,BULU TABA,SUMBER SARI,26,21,3,0,2,0,0,0,0,26,0,JANUARI
21,SULAWESI BARAT,PASANGKAYU,BULU TABA,LELEJAE,169,71,29,13,37,8,0,11,0,169,0,JANUARI
22,SULAWESI BARAT,PASANGKAYU,BULU TABA,OMPI,92,49,25,3,11,3,0,1,0,92,0,JANUARI
23,SULAWESI BARAT,PASANGKAYU,DAPURANG,DAPURANG,346,204,58,2,53,15,1,3,0,336,10,JANUARI
24,SULAWESI BARAT,PASANGKAYU,DAPURANG,BENGGAULU,241,110,62,0,51,4,0,13,0,240,1,JANUARI
25,SULAWESI BARAT,PASANGKAYU,DAPURANG,TIRTABUANA,132,69,16,2,37,2,0,5,0,131,1,JANUARI
26,SULAWESI BARAT,PASANGKAYU,DAPURANG,BULU BONGGU,235,66,41,2,110,5,0,4,0,228,7,JANUARI
27,SULAWESI BARAT,PASANGKAYU,DAPURANG,SARASA,181,83,70,1,18,7,0,2,0,181,0,JANUARI
28,SULAWESI BARAT,PASANGKAYU,DURIPOKU,TAMMARUNANG,160,59,45,1,42,5,0,8,0,160,0,JANUARI
29,SULAWESI BARAT,PASANGKAYU,DURIPOKU,SAPTANAJAYA,176,116,29,1,17,7,0,5,0,175,1,JANUARI
30,SULAWESI BARAT,PASANGKAYU,DURIPOKU,TARANGGI,71,15,16,0,34,4,0,2,0,71,0,JANUARI
31,SULAWESI BARAT,PASANGKAYU,DURIPOKU,SIPAKAINGA,52,26,16,0,9,0,0,1,0,52,0,JANUARI
32,SULAWESI BARAT,PASANGKAYU,LARIANG,PARABU,120,27,22,7,30,16,0,10,0,112,8,JANUARI
33,SULAWESI BARAT,PASANGKAYU,LARIANG,KENANGAN,43,10,6,2,13,6,0,4,0,41,2,JANUARI
34,SULAWESI BARAT,PASANGKAYU,LARIANG,BAJAWALI,127,33,21,1,49,11,0,12,0,127,0,JANUARI
35,SULAWESI BARAT,PASANGKAYU,LARIANG,SINGGANI,148,66,39,0,27,8,0,7,0,147,1,JANUARI
36,SULAWESI BARAT,PASANGKAYU,LARIANG,KULU,79,29,26,0,16,5,0,1,0,77,2,JANUARI
37,SULAWESI BARAT,PASANGKAYU,LARIANG,BATU MATORU,72,28,13,0,20,4,0,7,0,72,0,JANUARI
38,SULAWESI BARAT,PASANGKAYU,LARIANG,BAMBAKORO,105,50,1,1,37,8,0,8,0,105,0,JANUARI
39,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,PASANGKAYU,2042,853,538,29,229,320,25,38,0,2032,10,JANUARI
40,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,MARTAJAYA,160,50,29,1,42,24,0,14,0,160,0,JANUARI
41,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,PAKAVA,272,159,51,2,54,4,0,2,0,272,0,JANUARI
42,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,KARYA BERSAMA,286,149,51,0,61,16,0,9,0,286,0,JANUARI
43,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,AKO,445,216,70,4,85,40,0,16,0,431,14,JANUARI
44,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,GUNUNG SARI,383,195,65,2,79,13,0,20,0,374,9,JANUARI
45,SULAWESI BARAT,PASANGKAYU,PEDONGGA,MALEI,208,138,46,1,16,4,0,1,0,206,2,JANUARI
46,SULAWESI BARAT,PASANGKAYU,PEDONGGA,PEDANDA,164,52,43,2,58,3,0,5,0,163,1,JANUARI
47,SULAWESI BARAT,PASANGKAYU,PEDONGGA,BATU OGE,132,60,20,1,45,5,0,1,0,132,0,JANUARI
48,SULAWESI BARAT,PASANGKAYU,PEDONGGA,MARTASARI,352,125,52,4,153,8,0,9,0,351,1,JANUARI
49,SULAWESI BARAT,PASANGKAYU,SARJO,SARJO,245,54,68,18,48,8,0,47,0,243,2,JANUARI
50,SULAWESI BARAT,PASANGKAYU,SARJO,MAPONU,152,37,32,0,50,9,0,2,7,137,15,JANUARI
51,SULAWESI BARAT,PASANGKAYU,SARJO,LETAWA,192,62,20,15,63,6,2,21,0,189,3,JANUARI
52,SULAWESI BARAT,PASANGKAYU,SARJO,SARUDE,215,47,48,12,67,9,0,26,0,209,6,JANUARI
53,SULAWESI BARAT,PASANGKAYU,SARUDU,SARUDU,396,234,47,0,91,11,0,11,1,395,1,JANUARI
54,SULAWESI BARAT,PASANGKAYU,SARUDU,BULU MARIO,286,108,61,6,74,16,0,19,2,286,0,JANUARI
55,SULAWESI BARAT,PASANGKAYU,SARUDU,KUMASARI,227,135,34,1,38,4,0,12,2,226,1,JANUARI
56,SULAWESI BARAT,PASANGKAYU,SARUDU,PATIKA,49,9,11,0,11,2,0,6,0,39,10,JANUARI
57,SULAWESI BARAT,PASANGKAYU,SARUDU,DODA,268,143,44,0,75,3,0,3,0,268,0,JANUARI
58,SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,TIKKE,263,75,52,1,95,20,0,10,0,253,10,JANUARI
59,SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,MAKMUR JAYA,427,156,119,3,107,21,0,17,1,424,3,JANUARI
60,SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,LARIANG,391,156,68,3,137,15,0,9,0,388,3,JANUARI
61,SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,PAJALELE,369,159,71,0,98,20,1,15,0,364,5,JANUARI
62,SULAWESI BARAT,PASANGKAYU,TIKKE RAYA,JENGENG RAYA,174,66,38,7,42,17,0,4,0,174,0,JANUARI
63,SULAWESI BARAT,MAMUJU,MAMUJU,BINANGA,884,591,138,26,54,36,2,23,3,873,11,JANUARI
64,SULAWESI BARAT,MAMUJU,MAMUJU,MAMUNYU,358,219,64,17,24,19,1,10,0,354,4,JANUARI
65,SULAWESI BARAT,MAMUJU,MAMUJU,KAREMA,514,337,83,11,45,27,0,9,1,513,1,JANUARI
66,SULAWESI BARAT,MAMUJU,MAMUJU,RIMUKU,475,205,92,10,35,52,2,18,1,415,60,JANUARI
67,SULAWESI BARAT,MAMUJU,MAMUJU,BAMBU,282,185,52,11,15,6,0,13,0,282,0,JANUARI
68,SULAWESI BARAT,MAMUJU,MAMUJU,KARAMPUANG,323,246,44,0,17,5,0,10,0,322,1,JANUARI
69,SULAWESI BARAT,MAMUJU,MAMUJU,TADUI,218,111,57,2,38,0,0,9,0,217,1,JANUARI
70,SULAWESI BARAT,MAMUJU,MAMUJU,BATU PANNU,141,98,28,0,8,4,0,3,0,141,0,JANUARI
71,SULAWESI BARAT,MAMUJU,TAPALANG,GALUNG,184,52,70,3,24,15,0,20,0,184,0,JANUARI
72,SULAWESI BARAT,MAMUJU,TAPALANG,KASAMBANG,181,61,59,0,47,2,0,10,2,181,0,JANUARI
73,SULAWESI BARAT,MAMUJU,TAPALANG,DAYANGINNA,105,32,36,3,21,4,0,6,0,102,3,JANUARI
74,SULAWESI BARAT,MAMUJU,TAPALANG,OROBATU,78,29,24,8,6,6,0,5,0,78,0,JANUARI
75,SULAWESI BARAT,MAMUJU,TAPALANG,TAKANDEANG,128,46,34,0,35,9,1,3,0,128,0,JANUARI
76,SULAWESI BARAT,MAMUJU,TAPALANG,BELA,47,33,6,0,7,0,0,0,0,46,1,JANUARI
77,SULAWESI BARAT,MAMUJU,TAPALANG,TAAN,203,78,60,1,53,3,0,7,0,202,1,JANUARI
78,SULAWESI BARAT,MAMUJU,TAPALANG,TAMPALANG,112,54,19,2,31,2,0,4,0,112,0,JANUARI
79,SULAWESI BARAT,MAMUJU,TAPALANG,RANTEDODA,68,40,15,8,5,0,0,0,0,68,0,JANUARI
80,SULAWESI BARAT,MAMUJU,TAPALANG,KOPEANG,55,29,18,0,8,0,0,0,0,55,0,JANUARI
81,SULAWESI BARAT,MAMUJU,KALUKKU,SINYONYOI,345,209,84,7,19,4,0,8,1,332,13,JANUARI
82,SULAWESI BARAT,MAMUJU,KALUKKU,BEBANGA,527,324,139,7,41,3,3,8,0,525,2,JANUARI
83,SULAWESI BARAT,MAMUJU,KALUKKU,KALUKKU,277,118,79,0,65,7,0,7,0,276,1,JANUARI
84,SULAWESI BARAT,MAMUJU,KALUKKU,SINYONYOI SELATAN,169,90,49,3,11,1,0,9,0,163,6,JANUARI
85,SULAWESI BARAT,MAMUJU,KALUKKU,SONDOANG,237,115,64,0,51,0,0,4,2,236,1,JANUARI
86,SULAWESI BARAT,MAMUJU,KALUKKU,BERU-BERU,429,235,101,3,82,2,0,6,0,429,0,JANUARI
87,SULAWESI BARAT,MAMUJU,KALUKKU,BELANG BELANG,276,134,106,1,23,0,0,12,0,276,0,JANUARI
88,SULAWESI BARAT,MAMUJU,KALUKKU,KABULOANG,234,107,69,0,47,0,1,6,1,231,3,JANUARI
89,SULAWESI BARAT,MAMUJU,KALUKKU,KEANG,235,66,143,1,22,1,0,0,0,233,2,JANUARI
90,SULAWESI BARAT,MAMUJU,KALUKKU,POKKANG,155,55,60,0,31,5,0,3,0,154,1,JANUARI
91,SULAWESI BARAT,MAMUJU,KALUKKU,GULILING,112,36,42,1,27,0,0,2,3,111,1,JANUARI
92,SULAWESI BARAT,MAMUJU,KALUKKU,UHAIMATE,87,50,33,0,4,0,0,0,0,87,0,JANUARI
93,SULAWESI BARAT,MAMUJU,KALUKKU,KALUKKU BARAT,423,283,51,1,81,2,1,3,0,422,1,JANUARI
94,SULAWESI BARAT,MAMUJU,KALUKKU,PAMMULUKANG,179,48,111,1,8,0,0,4,1,173,6,JANUARI
95,SULAWESI BARAT,MAMUJU,BONEHAU,BONEHAU,83,24,43,3,6,1,0,0,0,77,6,JANUARI
96,SULAWESI BARAT,MAMUJU,BONEHAU,SALUTIWO,64,27,19,1,16,0,0,0,0,63,1,JANUARI
97,SULAWESI BARAT,MAMUJU,BONEHAU,BUTTUADA,143,12,117,0,9,1,0,1,1,141,2,JANUARI
98,SULAWESI BARAT,MAMUJU,BONEHAU,TAMALEA,38,5,19,0,13,1,0,0,0,38,0,JANUARI
99,SULAWESI BARAT,MAMUJU,BONEHAU,LUMIKA,112,42,46,0,22,1,0,1,0,112,0,JANUARI
100,SULAWESI BARAT,MAMUJU,BONEHAU,MAPPU,69,15,41,0,13,0,0,0,0,69,0,JANUARI
101,SULAWESI BARAT,MAMUJU,BONEHAU,BANUADA,65,8,54,0,2,0,0,1,0,65,0,JANUARI
102,SULAWESI BARAT,MAMUJU,BONEHAU,HINUA,68,21,23,2,17,1,0,3,0,67,1,JANUARI
103,SULAWESI BARAT,MAMUJU,BONEHAU,KINATANG,81,13,66,0,1,0,0,1,0,81,0,JANUARI
104,SULAWESI BARAT,MAMUJU,KALUMPANG,KALUMPANG,45,22,12,0,2,0,0,5,0,41,4,JANUARI
105,SULAWESI BARAT,MAMUJU,KALUMPANG,KARATAUN,193,145,16,0,29,1,0,0,0,191,2,JANUARI
106,SULAWESI BARAT,MAMUJU,KALUMPANG,KARAMA,106,41,46,0,18,0,0,1,0,106,0,JANUARI
107,SULAWESI BARAT,MAMUJU,KALUMPANG,SIRAUN,32,23,1,0,6,0,0,0,1,31,1,JANUARI
108,SULAWESI BARAT,MAMUJU,KALUMPANG,TUMOGA,58,37,9,0,4,0,0,0,0,50,8,JANUARI
109,SULAWESI BARAT,MAMUJU,KALUMPANG,SALUMAKKI,105,96,4,0,3,0,0,0,0,103,2,JANUARI
110,SULAWESI BARAT,MAMUJU,KALUMPANG,POLIO,55,29,21,0,4,0,0,0,1,55,0,JANUARI
111,SULAWESI BARAT,MAMUJU,KALUMPANG,LIMBONG,77,32,13,0,29,1,0,1,0,76,1,JANUARI
112,SULAWESI BARAT,MAMUJU,KALUMPANG,SANDAPANG,74,27,5,0,41,0,0,0,0,73,1,JANUARI
113,SULAWESI BARAT,MAMUJU,KALUMPANG,KONDO BULO,77,48,26,0,1,0,0,0,0,75,2,JANUARI
114,SULAWESI BARAT,MAMUJU,KALUMPANG,MAKKALIKI,65,30,16,0,19,0,0,0,0,65,0,JANUARI
115,SULAWESI BARAT,MAMUJU,KALUMPANG,BATU MAKKADA,85,37,45,0,2,0,0,0,0,84,1,JANUARI
116,SULAWESI BARAT,MAMUJU,KALUMPANG,LASA',34,21,3,0,6,0,0,0,1,31,3,JANUARI
117,SULAWESI BARAT,MAMUJU,KEP. BALA BALAKANG,BALA BALAKANG,133,87,39,0,4,0,0,0,0,130,3,JANUARI
118,SULAWESI BARAT,MAMUJU,KEP. BALA BALAKANG,BALA-BALAKANG TIMUR,78,23,54,0,0,0,1,0,0,78,0,JANUARI
119,SULAWESI BARAT,MAMUJU,SAMPAGA,BUNDE,452,230,116,1,102,1,0,2,0,452,0,JANUARI
120,SULAWESI BARAT,MAMUJU,SAMPAGA,KALONDING,474,199,191,6,72,2,0,3,0,473,1,JANUARI
121,SULAWESI BARAT,MAMUJU,SAMPAGA,TARAILU,245,126,85,0,28,1,1,4,0,245,0,JANUARI
122,SULAWESI BARAT,MAMUJU,SAMPAGA,SAMPAGA,115,45,48,0,20,0,0,0,1,114,1,JANUARI
123,SULAWESI BARAT,MAMUJU,SAMPAGA,TANAMBUAH,56,18,21,0,16,0,0,1,0,56,0,JANUARI
124,SULAWESI BARAT,MAMUJU,SAMPAGA,SALUBARANA,58,24,15,2,13,0,0,4,0,58,0,JANUARI
125,SULAWESI BARAT,MAMUJU,SAMPAGA,LOSSO,104,43,18,0,42,0,0,0,0,103,1,JANUARI
126,SULAWESI BARAT,MAMUJU,PAPALANG,TOABO,530,225,154,5,140,2,0,4,0,530,0,JANUARI
127,SULAWESI BARAT,MAMUJU,PAPALANG,PAPALANG,373,236,86,1,35,0,0,1,0,359,14,JANUARI
128,SULAWESI BARAT,MAMUJU,PAPALANG,BONDA,236,135,69,0,31,0,0,0,0,235,1,JANUARI
129,SULAWESI BARAT,MAMUJU,PAPALANG,TOPORE,202,105,48,3,38,3,0,3,0,200,2,JANUARI
130,SULAWESI BARAT,MAMUJU,PAPALANG,SALUKAYU,208,108,65,0,28,2,0,5,0,208,0,JANUARI
131,SULAWESI BARAT,MAMUJU,PAPALANG,SUKADAMAI,106,60,31,0,11,0,0,4,0,106,0,JANUARI
132,SULAWESI BARAT,MAMUJU,PAPALANG,BODA-BODA,192,91,80,0,16,0,0,4,0,191,1,JANUARI
133,SULAWESI BARAT,MAMUJU,PAPALANG,SISANGO,95,30,52,0,6,3,0,1,0,92,3,JANUARI
134,SULAWESI BARAT,MAMUJU,PAPALANG,BATU AMPA,88,32,53,0,3,0,0,0,0,88,0,JANUARI
135,SULAWESI BARAT,MAMUJU,SIMBORO,SIMBORO,1682,584,228,41,83,191,2,31,5,1165,517,JANUARI
136,SULAWESI BARAT,MAMUJU,SIMBORO,RANGAS,407,141,115,3,82,9,3,5,0,358,49,JANUARI
137,SULAWESI BARAT,MAMUJU,SIMBORO,BOTTENG,169,144,8,2,12,1,0,2,0,169,0,JANUARI
138,SULAWESI BARAT,MAMUJU,SIMBORO,SALETTO,219,99,70,2,21,5,2,20,0,219,0,JANUARI
139,SULAWESI BARAT,MAMUJU,SIMBORO,SUMARE,187,86,70,2,23,5,0,1,0,187,0,JANUARI
140,SULAWESI BARAT,MAMUJU,SIMBORO,BOTTENG UTARA,222,93,74,0,36,5,0,0,0,208,14,JANUARI
141,SULAWESI BARAT,MAMUJU,SIMBORO,TAPANDULLU,30,16,0,0,11,0,2,1,0,30,0,JANUARI
142,SULAWESI BARAT,MAMUJU,SIMBORO,PATI'DI,113,76,23,0,13,0,0,1,0,113,0,JANUARI
143,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,DUNGKAIT,240,91,107,7,28,2,1,2,0,238,2,JANUARI
144,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,LEBANI,106,33,50,0,6,0,0,3,2,94,12,JANUARI
145,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,LABUANG RANO,202,100,77,0,10,3,0,1,0,191,11,JANUARI
146,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,PASABU,138,47,50,5,9,7,0,14,0,132,6,JANUARI
147,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,TANETE PAO,43,32,7,0,2,0,0,0,0,41,2,JANUARI
148,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,PANGASAAN,24,11,12,0,0,0,0,0,0,23,1,JANUARI
149,SULAWESI BARAT,MAMUJU,TAPALANG BARAT,AHU,137,76,37,1,5,0,0,3,0,122,15,JANUARI
150,SULAWESI BARAT,MAMUJU,TOMMO,TOMMO,206,91,55,0,55,1,0,4,0,206,0,JANUARI
151,SULAWESI BARAT,MAMUJU,TOMMO,CAMPALOGA,191,67,67,2,44,6,0,0,0,186,5,JANUARI
152,SULAWESI BARAT,MAMUJU,TOMMO,BUANA SAKTI,174,71,30,0,73,0,0,0,0,174,0,JANUARI
153,SULAWESI BARAT,MAMUJU,TOMMO,TAMEMONGGA,176,54,85,0,34,0,1,1,0,175,1,JANUARI
154,SULAWESI BARAT,MAMUJU,TOMMO,TAMEJARRA,113,52,31,7,20,1,1,1,0,113,0,JANUARI
155,SULAWESI BARAT,MAMUJU,TOMMO,RANTEMARIO,130,58,52,1,9,5,0,5,0,130,0,JANUARI
156,SULAWESI BARAT,MAMUJU,TOMMO,MALINO,48,26,12,3,3,0,0,2,0,46,2,JANUARI
157,SULAWESI BARAT,MAMUJU,TOMMO,KAKULLASANG,280,135,100,2,34,0,0,3,0,274,6,JANUARI
158,SULAWESI BARAT,MAMUJU,TOMMO,LELING,72,18,34,0,18,0,0,2,0,72,0,JANUARI
159,SULAWESI BARAT,MAMUJU,TOMMO,KALEPU,45,19,25,0,1,0,0,0,0,45,0,JANUARI
160,SULAWESI BARAT,MAMUJU,TOMMO,SANDANA,101,37,37,0,15,3,0,8,1,101,0,JANUARI
161,SULAWESI BARAT,MAMUJU,TOMMO,LELING BARAT,120,38,48,0,27,3,0,2,0,118,2,JANUARI
162,SULAWESI BARAT,MAMUJU,TOMMO,LELING UTARA,113,51,47,0,13,0,0,0,0,111,2,JANUARI
163,SULAWESI BARAT,MAMUJU,TOMMO,SALUDENGEN,112,58,50,1,3,0,0,0,0,112,0,JANUARI
164,SULAWESI BARAT,MAJENE,BANGGAE,BANGGAE,258,81,70,10,51,29,1,16,0,258,0,JANUARI
165,SULAWESI BARAT,MAJENE,BANGGAE,BARU,435,141,119,11,125,12,0,27,0,435,0,JANUARI
166,SULAWESI BARAT,MAJENE,BANGGAE,PANGALI ALI,735,276,185,6,175,54,1,35,0,732,3,JANUARI
167,SULAWESI BARAT,MAJENE,BANGGAE,TOTOLI,303,91,88,9,89,10,1,12,0,300,3,JANUARI
168,SULAWESI BARAT,MAJENE,BANGGAE,RANGAS,891,347,341,16,134,30,1,19,3,891,0,JANUARI
169,SULAWESI BARAT,MAJENE,BANGGAE,GALUNG,157,27,22,17,41,21,0,28,0,156,1,JANUARI
170,SULAWESI BARAT,MAJENE,BANGGAE,PALIPI SOREANG,196,98,29,12,43,9,0,5,0,196,0,JANUARI
171,SULAWESI BARAT,MAJENE,BANGGAE,PAMBOBORANG,215,41,81,16,51,4,0,21,0,214,1,JANUARI
172,SULAWESI BARAT,MAJENE,MALUNDA,MALUNDA,123,43,48,8,13,3,3,5,0,123,0,JANUARI
173,SULAWESI BARAT,MAJENE,MALUNDA,LAMUNGANG BATU,68,25,24,1,8,1,0,8,0,67,1,JANUARI
174,SULAWESI BARAT,MAJENE,MALUNDA,BAMBANGAN,120,59,44,1,14,1,0,1,0,120,0,JANUARI
175,SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG,70,40,14,1,12,1,0,2,0,70,0,JANUARI
176,SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG,137,34,64,4,18,5,0,10,0,135,2,JANUARI
177,SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA,218,72,37,4,51,1,0,3,0,168,50,JANUARI
178,SULAWESI BARAT,MAJENE,MALUNDA,MALIAYA,119,59,19,4,29,2,0,6,0,119,0,JANUARI
179,SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG TIMUR,131,89,39,0,2,0,0,1,0,131,0,JANUARI
180,SULAWESI BARAT,MAJENE,MALUNDA,SALUTAHONGAN,49,32,11,0,3,1,0,1,0,48,1,JANUARI
181,SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG TIMUR,79,18,23,7,1,14,0,13,0,76,3,JANUARI
182,SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA SELATAN,100,41,19,0,30,1,0,6,2,99,1,JANUARI
183,SULAWESI BARAT,MAJENE,MALUNDA,KAYUANGIN,128,69,27,5,10,6,0,7,0,124,4,JANUARI
184,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BAURUNG,416,203,42,27,124,9,1,8,1,415,1,JANUARI
185,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA,188,50,23,41,35,12,0,9,0,170,18,JANUARI
186,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA DHUA,130,40,25,31,22,0,0,3,0,121,9,JANUARI
