NO,PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,PUS,UNMET NEED,BULAN
0,SULAWESI BARAT,PASANGKAYU,BAMBAIRA,BAMBAIRA,507,59,JANUARI
1,SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KASOLOANG,322,61,JANUARI
2,SULAWESI BARAT,PASANGKAYU,BAMBAIRA,TAMPAURE,354,27,JANUARI
3,SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KALUKU NANGKA,486,65,JANUARI
4,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,BAMBALAMOTU,642,76,JANUARI
5,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,POLEWALI,680,24,JANUARI
6,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,RANDOMAYANG,653,28,JANUARI
7,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,PANGIANG,392,23,JANUARI
8,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,KALOLA,678,31,JANUARI
9,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,WULAI,392,24,JANUARI
10,SULAWESI BARAT,PASANGKAYU,BULU TABA,LILIMORI,525,27,JANUARI
11,SULAWESI BARAT,PASANGKAYU,BULU TABA,KARAVE,406,27,JANUARI
12,SULAWESI BARAT,PASANGKAYU,BULU TABA,BUKIT HARAPAN,244,22,JANUARI
13,SULAWESI BARAT,PASANGKAYU,BULU TABA,KASTABUANA,254,21,JANUARI
14,SULAWESI BARAT,PASANGKAYU,BULU TABA,SUMBER SARI,41,2,JANUARI
15,SULAWESI BARAT,PASANGKAYU,BULU TABA,LELEJAE,242,16,JANUARI
16,SULAWESI BARAT,PASANGKAYU,BULU TABA,OMPI,134,4,JANUARI
17,SULAWESI BARAT,PASANGKAYU,BARAS,BARAS,507,61,JANUARI
18,SULAWESI BARAT,PASANGKAYU,BARAS,BALANTI,489,13,JANUARI
19,SULAWESI BARAT,PASANGKAYU,BARAS,MOTU,1005,125,JANUARI
20,SULAWESI BARAT,PASANGKAYU,BARAS,BULU PARIGI,315,48,JANUARI
21,SULAWESI BARAT,PASANGKAYU,BARAS,TOWONI,240,5,JANUARI
22,SULAWESI BARAT,PASANGKAYU,BARAS,KASANO,596,97,JANUARI
23,SULAWESI BARAT,PASANGKAYU,LARIANG,PARABU,204,18,JANUARI
24,SULAWESI BARAT,PASANGKAYU,LARIANG,KENANGAN,83,15,JANUARI
25,SULAWESI BARAT,PASANGKAYU,LARIANG,BAJAWALI,148,2,JANUARI
26,SULAWESI BARAT,PASANGKAYU,LARIANG,SINGGANI,288,26,JANUARI
27,SULAWESI BARAT,PASANGKAYU,LARIANG,KULU,156,20,JANUARI
28,SULAWESI BARAT,PASANGKAYU,LARIANG,BATU MATORU,171,22,JANUARI
29,SULAWESI BARAT,PASANGKAYU,LARIANG,BAMBAKORO,268,16,JANUARI
30,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,PASANGKAYU,2494,338,JANUARI
31,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,MARTAJAYA,283,33,JANUARI
32,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,PAKAVA,536,50,JANUARI
33,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,KARYA BERSAMA,459,30,JANUARI
34,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,AKO,600,60,JANUARI
35,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,GUNUNG SARI,760,80,JANUARI
36,SULAWESI BARAT,PASANGKAYU,DURIPOKU,TAMMARUNANG,401,92,JANUARI
37,SULAWESI BARAT,PASANGKAYU,DURIPOKU,SAPTANAJAYA,301,27,JANUARI
38,SULAWESI BARAT,PASANGKAYU,DURIPOKU,TARANGGI,148,13,JANUARI
39,SULAWESI BARAT,PASANGKAYU,DURIPOKU,SIPAKAINGA,140,18,JANUARI
40,SULAWESI BARAT,PASANGKAYU,DAPURANG,DAPURANG,722,89,JANUARI
41,SULAWESI BARAT,PASANGKAYU,DAPURANG,BENGGAULU,519,88,JANUARI
42,SULAWESI BARAT,PASANGKAYU,DAPURANG,TIRTABUANA,211,37,JANUARI
43,SULAWESI BARAT,PASANGKAYU,DAPURANG,BULU BONGGU,390,40,JANUARI
44,SULAWESI BARAT,PASANGKAYU,DAPURANG,SARASA,313,40,JANUARI
45,SULAWESI BARAT,MAMUJU,MAMUJU,BINANGA,2019,155,JANUARI
46,SULAWESI BARAT,MAMUJU,MAMUJU,MAMUNYU,1007,199,JANUARI
47,SULAWESI BARAT,MAMUJU,MAMUJU,KAREMA,1533,92,JANUARI
48,SULAWESI BARAT,MAMUJU,MAMUJU,RIMUKU,1261,226,JANUARI
49,SULAWESI BARAT,MAMUJU,MAMUJU,BAMBU,585,85,JANUARI
50,SULAWESI BARAT,MAMUJU,MAMUJU,KARAMPUANG,606,13,JANUARI
51,SULAWESI BARAT,MAMUJU,MAMUJU,TADUI,668,3,JANUARI
52,SULAWESI BARAT,MAMUJU,MAMUJU,BATU PANNU,247,24,JANUARI
53,SULAWESI BARAT,MAMUJU,TAPALANG,GALUNG,527,41,JANUARI
54,SULAWESI BARAT,MAMUJU,TAPALANG,KASAMBANG,404,52,JANUARI
55,SULAWESI BARAT,MAMUJU,TAPALANG,DAYANGINNA,251,40,JANUARI
56,SULAWESI BARAT,MAMUJU,TAPALANG,OROBATU,166,23,JANUARI
57,SULAWESI BARAT,MAMUJU,TAPALANG,TAKANDEANG,453,50,JANUARI
58,SULAWESI BARAT,MAMUJU,TAPALANG,BELA,80,3,JANUARI
59,SULAWESI BARAT,MAMUJU,TAPALANG,TAAN,451,94,JANUARI
60,SULAWESI BARAT,MAMUJU,TAPALANG,TAMPALANG,439,36,JANUARI
61,SULAWESI BARAT,MAMUJU,TAPALANG,RANTEDODA,205,19,JANUARI
62,SULAWESI BARAT,MAMUJU,TAPALANG,KOPEANG,98,11,JANUARI
63,SULAWESI BARAT,MAMUJU,BONEHAU,BONEHAU,319,32,JANUARI
64,SULAWESI BARAT,MAMUJU,BONEHAU,SALUTIWO,131,12,JANUARI
65,SULAWESI BARAT,MAMUJU,BONEHAU,BUTTUADA,260,16,JANUARI
