PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;LATITUDE;LONGITUDE;PUS;Kampung KB;Rumah DataKU;BKB;BKR;BKL;UPPKA;PIK-R
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;MAHAHE;-2.122.958;119.365.442;1;Ada;Ada;Ada;Ada;Ada;Ada;Ada
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SALOBAJA;-2.156.691;119.336.074;1;Ada;Ada;Ada;Ada;Ada;Ada;Ada
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;TOBADAK;-2.104.302;119.491.646;1;Ada;Ada;Ada;Ada;Ada;Ada;Tidak ada
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;PALONGAAN;-2.105.264;11.940.054;1;Ada;Ada;Ada;Ada;Ada;Tidak ada;Tidak ada
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;BATU PARIGI;-207.222;119.538.128;1;Ada;Ada;Ada;Tidak ada;Ada;Tidak ada;Ada
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;BAMBADARU;-2.167.875;11.937.234;1;Ada;Ada;Ada;Ada;Ada;Ada;Ada
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SEJATI;-2.133.079;11.956.107;1;Ada;Ada;Ada;Ada;Ada;Ada;Ada
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SALOADAK;-2.150.791;119.409.562;1;Ada;Ada;Ada;Ada;Ada;Tidak ada;Ada
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO PANGALE;-2.276.623;119.190.498;1;Ada;Ada;Ada;Ada;Ada;Ada;Ada
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;PANGALE;-2.273.746;119.188.606;1;Ada;Ada;Ada;Ada;Ada;Ada;Ada
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;SARTANAMAJU;-2.261.835;119.166.387;1;Ada;Ada;Ada;Ada;Ada;Ada;Ada
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO LERENG;-223.699;119.195.861;1;Ada;Ada;Ada;Ada;Ada;Ada;Ada
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;KUO;-2.246.775;119.235.157;1;Ada;Ada;Ada;Ada;Ada;Ada;Ada
